	Time	Latitude	Longitude	Magnitude	Epicenter	Remarks	YYYY	MM	DD
219	04:35	28.94	81.75	4.0	Dailekh	NSC/RSC	2017.0	7.0	15.0
220	01:58	27.34	86.49	5.1	Okhaldhunga	NSC	2017.0	7.0	2.0
221	18:24	27.66	86.41	4.2	Ramechhap	NSC	2017.0	6.0	28.0
222	03:42	27.88	88.13	4.1	Taplejung-Tibet Border	NSC	2017.0	6.0	14.0
223	11:54	27.62	86.1	4.1	Dolakha	NSC	2017.0	6.0	12.0
224	05:38	29.64	80.97	4.1	Bajhang	RSC/NSC	2017.0	5.0	30.0
225	11:19	27.86	85.77	4.2	Sindhupalchowk	NSC	2017.0	4.0	24.0
226	03:04	29.75	81.31	4.1	Bajhang	NSC/RSC	2017.0	4.0	24.0
227	01:43	30.37	81.57	4.1	Humla	RSC/NSC	2017.0	3.0	10.0
228	04:21	27.38	86.13	4.7	Ramechhap	NSC	2017.0	2.0	27.0
229	03:37	27.36	86.12	4.6	Ramechhap	NSC	2017.0	2.0	27.0
230	00:15	27.79	84.8	4.0	Dhading	NSC	2017.0	2.0	18.0
231	11:13	29.88	80.61	4.1	Darchula	NSC/RSC	2017.0	2.0	10.0
232	12:13	27.73	86.08	4.4	Dolakha	NSC	2017.0	2.0	4.0
233	06:41	29.71	81.57	4.0	Bajura	RSC/NSC	2017.0	1.0	3.0
234	23:35	27.79	86.58	5.6	Ramechap/Solukhumbu	NSC/RSC	2016.0	11.0	28.0
235	04:02	29.69	81.05	4.0	Bajhang	RSC/NSC	2016.0	11.0	6.0
236	04:18	27.87	85.3	4.0	Nuwakot	NSC	2016.0	10.0	17.0
237	12:37	28.04	85.17	4.1	Rasuwa	NSC	2016.0	10.0	15.0
238	08:29	27.66	85.95	4.1	Dolakha	NSC	2016.0	10.0	12.0
239	07:08	27.67	85.95	4.6	Dolakha	NSC	2016.0	10.0	11.0
240	04:52	27.65	86.13	4.2	Dolakha	NSc	2016.0	10.0	7.0
241	17:12	27.91	85.77	4.6	Sindhupalchowk	NSC	2016.0	9.0	18.0
242	02:04	27.78	86.35	4.5	Dolakha	NSC	2016.0	9.0	5.0
243	00:37	27.82	86.14	4.1	Dolakha	NSC	2016.0	9.0	5.0
244	12:03	29.81	81.56	4.0	Bajura	RSC/NSC	2016.0	8.0	27.0
245	06:14	27.99	84.71	4.1	Gorkha	NSC	2016.0	7.0	23.0
246	22:23	27.84	86.16	4.1	Dolakha	NSC	2016.0	7.0	8.0
