,Time,Latitude,Longitude,Magnitude,Epicenter,Remarks,YYYY,MM,DD,Date
154,16:36,27.95,84.8,4.0,Dhading,NSC,2019,06,27,06/27/2019
155,15:47,28.95,81.98,4.5,Jajarkot,NSC/RSC,2019,06,15,06/15/2019
156,06:37,29.52,81.05,4.0,Bajhang,RSC/NSC,2019,06,14,06/14/2019
157,04:16,29.62,82.11,4.6,Mugu,RSC/NSC,2019,05,30,05/30/2019
158,15:23,29.5,81.28,4.3,Bajhang,RSC/NSC,2019,05,25,05/25/2019
159,05:17,27.7,86.47,4.9,Ramechhap,NSC,2019,05,25,05/25/2019
160,18:02,28.21,84.37,4.1,Lamjung,NSC,2019,05,21,05/21/2019
161,08:23,27.85,84.87,5.0,Dhading,NSC,2019,05,17,05/17/2019
162,18:51,28.98,81.78,5.1,Dailekh,RSC/NSC,2019,05,11,05/11/2019
163,02:52,27.94,85.72,4.0,Sindhupalchowk,NSC,2019,05,04,05/04/2019
164,05:50,27.93,85.94,4.0,Sindhupalchowk,NSC,2019,04,29,04/29/2019
165,00:55,27.7,85.14,4.3,Dhading,NSC,2019,04,24,04/24/2019
166,00:44,27.69,85.17,5.2,Dhading,NSC,2019,04,24,04/24/2019
167,06:50,28.0,84.76,4.5,Gorkha,NSC,2019,04,16,04/16/2019
168,22:42,29.49,81.24,4.8,Bajhang,RSC/NSC,2019,04,14,04/14/2019
169,04:40,28.03,85.38,4.6,Rasuwa,NSC,2019,04,13,04/13/2019
170,07:20,27.76,86.27,4.2,Dolakha,NSC,2019,04,09,04/09/2019
171,15:02,28.98,81.69,4.1,Dailekh,RSC/NSC,2019,04,01,04/01/2019
172,03:16,27.63,85.16,4.1,Makawanpur,NSC,2019,03,18,03/18/2019
173,10:35,27.84,85.95,4.1,Sindhupalchok,NSC,2019,02,26,02/26/2019
174,10:30,27.66,86.0,4.4,Dolakha,NSC,2019,02,26,02/26/2019
175,14:49,27.68,85.27,4.0,Kathmandu,NSC,2019,02,16,02/16/2019
176,11:26,27.81,88.18,4.6,Taplejung,NSC,2019,02,14,02/14/2019
177,16:45,27.09,86.96,4.5,Bhojpur,NSC,2019,01,22,01/22/2019
178,05:49,27.6,86.31,4.5,Ramechhap,NSC,2019,01,10,01/10/2019
179,23:21,27.85,85.76,4.7,Sindhupalchok,NSC,2018,12,22,12/22/2018
180,01:22,27.72,86.02,4.0,Sindhupalchok/Dolakha,NSC,2018,10,25,10/25/2018
181,05:07,28.94,81.72,4.3,Dailekh,RSC/NSC,2018,10,06,10/06/2018
182,16:00,28.93,81.7,4.0,Dailekh,RSC/NSC,2018,10,05,10/05/2018
183,07:08,28.94,81.74,4.0,Dailekh,RSC/NSC,2018,10,05,10/05/2018
184,19:57,28.57,82.88,4.0,East Rukum,NSC,2018,09,19,09/19/2018
185,17:50,27.79,87.41,4.2,Sankhuwasabha,NSC,2018,08,29,08/29/2018
186,12:31,27.5,88.04,4.5,Taplejung,NSC,2018,08,24,08/24/2018
187,08:47,27.66,86.1,4.2,Dolakha,NSC,2018,08,02,08/02/2018
188,11:59,27.94,85.51,4.3,Sindhupalchok,NSC,2018,07,24,07/24/2018
189,02:45,27.75,84.87,4.8,Dhading,NSC,2018,07,24,07/24/2018
190,05:30,29.02,81.51,4.2,Dailekh,RSC/NSC,2018,07,18,07/18/2018
191,17:07,27.82,84.81,4.4,Dhading,NSC,2018,07,17,07/17/2018
192,03:13,29.57,81.56,4.1,Bajura,RSC/NSC,2018,07,13,07/13/2018
193,01:36,28.11,85.04,4.1,Dhading,NSC,2018,07,05,07/05/2018
194,04:07,27.87,84.91,5.0,Dhading,NSC,2018,06,28,06/28/2018
195,04:15,27.31,87.9,4.7,Taplejung,NSC,2018,06,20,06/20/2018
196,04:09,27.36,88.01,4.8,Taplejung,NSC,2018,06,20,06/20/2018
197,01:34,29.68,81.65,4.9,Bajura,RSC/NSC,2018,06,05,06/05/2018
198,15:22,27.68,86.11,4.3,Dolakha,NSC,2018,06,01,06/01/2018
199,20:32,28.17,84.89,4.1,gorkha,NSC,2018,05,31,05/31/2018
200,16:00,28.9,81.77,4.3,Dailekh,RSC/NSC,2018,05,31,05/31/2018
201,14:25,29.98,80.54,4.6,Dharchula,RSC/NSC,2018,05,24,05/24/2018
202,15:04,27.74,88.13,4.4,Taplejung,NSC,2018,05,05,05/05/2018
203,05:06,27.7,86.33,4.6,Dolakha,NSC,2018,03,02,03/02/2018
204,19:00,27.7,86.33,4.7,Dolakha,NSC,2018,02,26,02/26/2018
205,15:59,28.07,85.96,4.3,Tibet,NSC,2018,02,21,02/21/2018
206,02:53,27.72,86.01,4.3,Dolakha,NSC,2018,01,19,01/19/2018
207,07:45,29.82,80.76,4.5,Darchula,RSC/NSC,2017,12,28,12/28/2017
208,11:33,27.96,85.68,4.2,Sindhupalchowk,NSC,2017,12,18,12/18/2017
209,02:51,27.63,86.19,5.2,Dolakha,NSC,2017,12,08,12/08/2017
210,03:09,29.78,81.28,4.5,Bajhang,RSC/NSC,2017,11,06,11/06/2017
211,12:51,29.08,81.45,4.0,Achham,NSC/RSC,2017,10,26,10/26/2017
212,11:17,28.5,83.32,4.2,Myagdi,NSC,2017,10,15,10/15/2017
213,01:22,28.83,82.55,4.1,Rukum,NSC/RSC,2017,10,02,10/02/2017
214,07:19,27.62,86.25,4.6,Dolakha,NSC,2017,09,21,09/21/2017
215,10:40,28.06,85.94,4.8,Sindhupalchok-Tibet border,NSC,2017,08,24,08/24/2017
216,12:50,29.41,81.1,4.9,Bajhang,RSC/NSC,2017,08,22,08/22/2017
217,12:03,27.66,86.27,4.6,Dolakha,NSC,2017,08,21,08/21/2017
218,04:44,27.56,85.96,4.0,Dolakha,NSC,2017,07,24,07/24/2017
219,04:35,28.94,81.75,4.0,Dailekh,NSC/RSC,2017,07,15,07/15/2017
220,01:58,27.34,86.49,5.1,Okhaldhunga,NSC,2017,07,02,07/02/2017
221,18:24,27.66,86.41,4.2,Ramechhap,NSC,2017,06,28,06/28/2017
222,03:42,27.88,88.13,4.1,Taplejung-Tibet Border,NSC,2017,06,14,06/14/2017
223,11:54,27.62,86.1,4.1,Dolakha,NSC,2017,06,12,06/12/2017
224,05:38,29.64,80.97,4.1,Bajhang,RSC/NSC,2017,05,30,05/30/2017
225,11:19,27.86,85.77,4.2,Sindhupalchowk,NSC,2017,04,24,04/24/2017
226,03:04,29.75,81.31,4.1,Bajhang,NSC/RSC,2017,04,24,04/24/2017
227,01:43,30.37,81.57,4.1,Humla,RSC/NSC,2017,03,10,03/10/2017
228,04:21,27.38,86.13,4.7,Ramechhap,NSC,2017,02,27,02/27/2017
229,03:37,27.36,86.12,4.6,Ramechhap,NSC,2017,02,27,02/27/2017
230,00:15,27.79,84.8,4.0,Dhading,NSC,2017,02,18,02/18/2017
231,11:13,29.88,80.61,4.1,Darchula,NSC/RSC,2017,02,10,02/10/2017
232,12:13,27.73,86.08,4.4,Dolakha,NSC,2017,02,04,02/04/2017
233,06:41,29.71,81.57,4.0,Bajura,RSC/NSC,2017,01,03,01/03/2017
234,23:35,27.79,86.58,5.6,Ramechap/Solukhumbu,NSC/RSC,2016,11,28,11/28/2016
